customer_id,first_name,last_name,email
1,Drew,Chen,drew_chen1@gmail.com
2,Mia,Johnson,mia_johnson2@gmail.com
3,Pat,Smith,pat_smith3@gmail.com
4,Jamie,Walker,jamie_walker4@gmail.com
5,Drew,Garcia,drew_garcia5@gmail.com
6,Pat,Park,pat_park6@gmail.com
7,Drew,Brown,drew_brown7@gmail.com
8,Reese,Garcia,reese_garcia8@gmail.com
9,Lee,Robinson,lee_robinson9@gmail.com
10,Riley,Davis,riley_davis10@gmail.com
11,Olivia,Wong,olivia_wong11@gmail.com
12,Quinn,Lopez,quinn_lopez12@gmail.com
13,Shawn,Lewis,shawn_lewis13@gmail.com
14,Riley,Kim,riley_kim14@gmail.com
15,Sky,Wong,sky_wong15@gmail.com
16,Sky,Martinez,sky_martinez16@gmail.com
17,Chris,Chen,chris_chen17@gmail.com
18,Devon,Martinez,devon_martinez18@gmail.com
19,Alex,Lewis,alex_lewis19@gmail.com
20,Emma,Lopez,emma_lopez20@gmail.com
21,Alex,Chen,alex_chen21@gmail.com
22,Liam,Garcia,liam_garcia22@gmail.com
23,Sophia,Walker,sophia_walker23@gmail.com
24,Riley,Johnson,riley_johnson24@gmail.com
25,Morgan,Lopez,morgan_lopez25@gmail.com
26,Morgan,Walker,morgan_walker26@gmail.com
27,Riley,Clark,riley_clark27@gmail.com
28,Sam,Lewis,sam_lewis28@gmail.com
29,Lee,Martinez,lee_martinez29@gmail.com
30,Isabella,Lee,isabella_lee30@gmail.com
31,Sam,Park,sam_park31@gmail.com
32,Parker,Smith,parker_smith32@gmail.com
33,Olivia,Robinson,olivia_robinson33@gmail.com
34,Liam,Garcia,liam_garcia34@gmail.com
35,Jamie,Walker,jamie_walker35@gmail.com
36,Drew,Lewis,drew_lewis36@gmail.com
37,Casey,Lee,casey_lee37@gmail.com
38,Riley,Johnson,riley_johnson38@gmail.com
39,Mia,Chen,mia_chen39@gmail.com
40,Casey,Nguyen,casey_nguyen40@gmail.com
41,Pat,Robinson,pat_robinson41@gmail.com
42,Chris,Garcia,chris_garcia42@gmail.com
43,Robin,Martinez,robin_martinez43@gmail.com
44,Alex,Lee,alex_lee44@gmail.com
45,Taylor,Wilson,taylor_wilson45@gmail.com
46,Jordan,Clark,jordan_clark46@gmail.com
47,Isabella,Garcia,isabella_garcia47@gmail.com
48,Isabella,Chen,isabella_chen48@gmail.com
49,Sophia,Davis,sophia_davis49@gmail.com
50,Sky,Lewis,sky_lewis50@gmail.com
51,Sophia,Park,sophia_park51@gmail.com
52,Parker,Young,parker_young52@gmail.com
53,Taylor,Chen,taylor_chen53@gmail.com
54,Noah,Hernandez,noah_hernandez54@gmail.com
55,Chris,Young,chris_young55@gmail.com
56,Drew,Robinson,drew_robinson56@gmail.com
57,Sky,Davis,sky_davis57@gmail.com
58,Sophia,Park,sophia_park58@gmail.com
59,Reese,Kim,reese_kim59@gmail.com
60,Jordan,Hernandez,jordan_hernandez60@gmail.com
61,Riley,Martinez,riley_martinez61@gmail.com
62,Sam,Smith,sam_smith62@gmail.com
63,Riley,Garcia,riley_garcia63@gmail.com
64,Avery,Kim,avery_kim64@gmail.com
65,Reese,Wong,reese_wong65@gmail.com
